itemno	noun	adjective	stimtype	encoding_version_noun	encoding_version_adjective	repeat_enc.thisRepN	repeat_enc.thisTrialN	repeat_enc.thisN	repeat_enc.thisIndex	enc_practice_loop.thisRepN	enc_practice_loop.thisTrialN	enc_practice_loop.thisN	enc_practice_loop.thisIndex	break_loop.thisRepN	break_loop.thisTrialN	break_loop.thisN	break_loop.thisIndex	enc_loop.thisRepN	enc_loop.thisTrialN	enc_loop.thisN	enc_loop.thisIndex	level_loop.thisRepN	level_loop.thisTrialN	level_loop.thisN	level_loop.thisIndex	practiceRepeat.thisRepN	practiceRepeat.thisTrialN	practiceRepeat.thisN	practiceRepeat.thisIndex	practice_loop.thisRepN	practice_loop.thisTrialN	practice_loop.thisN	practice_loop.thisIndex	blokk_loop.thisRepN	blokk_loop.thisTrialN	blokk_loop.thisN	blokk_loop.thisIndex	trial_loop.thisRepN	trial_loop.thisTrialN	trial_loop.thisN	trial_loop.thisIndex	repeat_rec_pract.thisRepN	repeat_rec_pract.thisTrialN	repeat_rec_pract.thisN	repeat_rec_pract.thisIndex	test_pract_loop.thisRepN	test_pract_loop.thisTrialN	test_pract_loop.thisN	test_pract_loop.thisIndex	test_loop.thisRepN	test_loop.thisTrialN	test_loop.thisN	test_loop.thisIndex	exp_intro.started	exp_intro.stopped	exp_intro_cont.started	exp_intro_cont.stopped	exp_continue.keys	exp_continue.rt	exp_continue.started	exp_continue.stopped	enc_instr_text.started	enc_instr_text.stopped	enc_instr_cont_text.started	enc_instr_cont_text.stopped	enc_instr_cont_key.keys	enc_instr_cont_key.rt	enc_instr_cont_key.started	enc_instr_cont_key.stopped	newspaper.started	newspaper.stopped	editor.started	editor.stopped	enc_pract_start_text.started	enc_pract_start_text.stopped	key_resp_5.keys	key_resp_5.rt	key_resp_5.started	key_resp_5.stopped	fx_cross.started	fx_cross.stopped	megfelelõ_v.started	megfelelõ_v.stopped	nemmegf_v.started	nemmegf_v.stopped	enc_cross_resp.keys	enc_cross_resp.started	enc_cross_resp.stopped	word_pair_text.started	word_pair_text.stopped	enc_keys.keys	enc_keys.started	enc_keys.stopped	megfelelõ_válasz.started	megfelelõ_válasz.stopped	nemmegfelelõ_válasz.started	nemmegfelelõ_válasz.stopped	enc_feedback_text.started	enc_feedback_text.stopped	enc_cross_resp.rt	enc_keys.rt	enc_repeat_button.keys	enc_repeat_button.rt	enc_repeat_button.started	enc_repeat_button.stopped	repeat_text_for_enc.started	repeat_text_for_enc.stopped	enc_pract_endtext.started	enc_pract_endtext.stopped	enc_pract_cont_text.started	enc_pract_cont_text.stopped	end_enc_pract_key.keys	end_enc_pract_key.rt	end_enc_pract_key.started	end_enc_pract_key.stopped	end_enc_text.started	end_enc_text.stopped	end_enc_key.keys	end_enc_key.rt	end_enc_key.started	end_enc_key.stopped	instr_instr.started	instr_instr.stopped	instr_tovabb.keys	instr_tovabb.rt	instr_tovabb.started	instr_tovabb.stopped	sad_computer.started	sad_computer.stopped	warning.started	warning.stopped	lvl_instr_text.started	lvl_instr_text.stopped	key_resp_2.keys	key_resp_2.rt	key_resp_2.started	key_resp_2.stopped	pract_inst_text.started	pract_inst_text.stopped	pract_inst_key.keys	pract_inst_key.rt	pract_inst_key.started	pract_inst_key.stopped	pract_stim.started	pract_stim.stopped	pract_resp.keys	pract_resp.started	pract_resp.stopped	nback_feedback.started	nback_feedback.stopped	feladat_blokk	Betû	All_keys	All_RT	Answer_key	Answer RT	Response type	Correctness	pract_stim2.started	pract_stim2.stopped	feedback_2.started	feedback_2.stopped	repeat_pract_text.started	repeat_pract_text.stopped	repeat_practice_key.keys	repeat_practice_key.rt	repeat_practice_key.started	repeat_practice_key.stopped	pract_resp.rt	szunet_text.started	szunet_text.stopped	szunet_key.keys	szunet_key.rt	szunet_key.started	szunet_key.stopped	test_stim.started	test_stim.stopped	key_resp.keys	key_resp.started	key_resp.stopped	key_resp.rt	blokk_szun_text.started	blokk_szun_text.stopped	blokk_szun_resp.keys	blokk_szun_resp.rt	blokk_szun_resp.started	blokk_szun_resp.stopped	text_3.started	text_3.stopped	end_keys.keys	end_keys.rt	end_keys.started	end_keys.stopped	break_text.started	break_text.stopped	break_cont_text.started	break_cont_text.stopped	szun2_resp.keys	szun2_resp.rt	szun2_resp.started	szun2_resp.stopped	test_instr_text.started	test_instr_text.stopped	test_instr_cont_text.started	test_instr_cont_text.stopped	test_instr_cont_key.keys	test_instr_cont_key.rt	test_instr_cont_key.started	test_instr_cont_key.stopped	news_coffee.started	news_coffee.stopped	editorman.started	editorman.stopped	test2_inst.started	test2_inst.stopped	test2_space.started	test2_space.stopped	test2_resp.keys	test2_resp.rt	test2_resp.started	test2_resp.stopped	test_pract_start_text.started	test_pract_start_text.stopped	test_pract_begin.keys	test_pract_begin.rt	test_pract_begin.started	test_pract_begin.stopped	test_pract_words.started	test_pract_words.stopped	test_pract_keys.keys	test_pract_keys.started	test_pract_keys.stopped	régi_válasz.started	régi_válasz.stopped	uj_válasz.started	uj_válasz.stopped	confid_break_text.started	confid_break_text.stopped	confid_break_gombok.keys	confid_break_gombok.started	confid_break_gombok.stopped	konfidencia_kérdés.started	konfidencia_kérdés.stopped	confid_rate_keys.keys	confid_rate_keys.started	confid_rate_keys.stopped	test_pract_feedback_text.started	test_pract_feedback_text.stopped	feedback_button.keys	feedback_button.rt	feedback_button.started	feedback_button.stopped	test_pract_keys.rt	confid_rate_keys.rt	confid_break_gombok.rt	repeat_pract_rec_textbox.started	repeat_pract_rec_textbox.stopped	rec_pract_repeat_button.keys	rec_pract_repeat_button.rt	rec_pract_repeat_button.started	rec_pract_repeat_button.stopped	test_pract_end_text.started	test_pract_end_text.stopped	test_pract_end_cont_text.started	test_pract_end_cont_text.stopped	test_pract_end_key.keys	test_pract_end_key.rt	test_pract_end_key.started	test_pract_end_key.stopped	test_end_text.started	test_end_text.stopped	end_exp_text.started	end_exp_text.stopped	key_resp_3.keys	key_resp_3.rt	key_resp_3.started	key_resp_3.stopped	Résztvevõ kódja:	Lista száma:	date	expName	psychopyVersion	frameRate
6	karrier	termékeny	FOIL			2	0	2	0	0	2	2	5																																																																			269.5560580039746	None	269.5560580039746	None	269.5560580039746	None	None	269.5560580039746	None	270.5516093657643	None	2	270.5516093657643	None	270.5516093657643	None	270.5516093657643	None	272.56178176915273	None		0.5201697100710589																																																																																																																																																																																	457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
3	sivatag	végtelen	TARG			2	0	2	0	0	3	3	2																																																																			277.55578431815957	None	277.55578431815957	None	277.55578431815957	None	None	277.55578431815957	None	278.5577554779011	None	2	278.5577554779011	None	278.5577554779011	None	278.5577554779011	None	280.5431338142953	None		1.1439086561149452																																																																																																																																																																																	457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
4	retorika	ésszerû	FOIL			2	0	2	0	0	4	4	3																																																																			285.5473510636075	None	285.5473510636075	None	285.5473510636075	None	None	285.5473510636075	None	286.55517008015886	None	2	286.55517008015886	None	286.55517008015886	None	286.55517008015886	None	288.54449229108286	None		1.125447927217465																																																																																																																																																																																	457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
1	színésznõ	tevékeny	TARG			2	0	2	0	0	5	5	0																																																																			293.54495475787553	None	293.54495475787553	None	293.54495475787553	None	None	293.54495475787553	None	294.5509553189331	None	2	294.5509553189331	None	294.5509553189331	None	294.5509553189331	None	296.55164202145534	None		1.0677487415086944																																																																																																																																																																																	457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
						2	0	2	0																																																																																													j	25.541142750153085	301.53807156012044	None	301.53807156012044	None																																																																																																																																																																											457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
																																																																																																												327.112803021475	None	327.112803021475	None	4	22.101133121410385	327.112803021475	None																																																																																																																																																																			457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
75	sütemény	születésnapi	TARG											0	0	0	0	0	0	0	0																																																											349.3294984147942	None	349.3294984147942	None	349.3294984147942	None	None	349.3294984147942	None	350.26648599255714	None	2	350.26648599255714	None	350.26648599255714	None	350.26648599255714	None				1.632443709357176																																																																																																																																																																																	457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
81	színdarab	humoros	TARG											0	0	0	0	0	1	1	1																																																											352.2620037656743	None	352.2620037656743	None	352.2620037656743	None	None	352.2620037656743	None	353.26180596547783	None	2	353.26180596547783	None	353.26180596547783	None	353.26180596547783	None				1.1569740427949																																																																																																																																																																																	457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
94	protokoll	sebészeti	FOIL											0	0	0	0	0	2	2	2																																																											355.25617114815395	None	355.25617114815395	None	355.25617114815395	None	None	355.25617114815395	None	356.27038072803407	None	2	356.27038072803407	None	356.27038072803407	None	356.27038072803407	None				1.2725611952191684																																																																																																																																																																																	457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
41	királynõ	szépséges	TARG											0	0	0	0	0	3	3	3																																																											358.26103777921526	None	358.26103777921526	None	358.26103777921526	None	None	358.26103777921526	None	359.2555814796651	None	2	359.2555814796651	None	359.2555814796651	None	359.2555814796651	None				1.1930896824924275																																																																																																																																																																																	457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
125	csemege	temérdek	FOIL											0	0	0	0	0	4	4	4																																																											361.24627398559824	None	361.24627398559824	None	361.24627398559824	None	None	361.24627398559824	None	362.2513804027112	None	2	362.2513804027112	None	362.2513804027112	None	362.2513804027112	None				1.356260531465523																																																																																																																																																																																	457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
122	munkanap	tetszõleges	FOIL											0	0	0	0	0	5	5	5																																																											364.25230347027536	None	364.25230347027536	None	364.25230347027536	None	None	364.25230347027536	None	365.26886643696344	None	2	365.26886643696344	None	365.26886643696344	None	365.26886643696344	None				1.2700305346224923																																																																																																																																																																																	457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
59	mûalkotás	korabeli	TARG											0	0	0	0	0	6	6	6																																																											367.2479941630154	None	367.2479941630154	None	367.2479941630154	None	None	367.2479941630154	None	368.2613649581326	None	2	368.2613649581326	None	368.2613649581326	None	368.2613649581326	None				0.9113593911170028																																																																																																																																																																																	457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
35	fenyegetés	írásbeli	FOIL											0	0	0	0	0	7	7	7																																																											370.2544282672461	None	370.2544282672461	None	370.2544282672461	None	None	370.2544282672461	None	371.2772213178687	None	2	371.2772213178687	None	371.2772213178687	None	371.2772213178687	None				0.9794794744811952																																																																																																																																																																																	457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
100	zaklatás	pszichés	FOIL											0	0	0	0	0	8	8	8																																																											373.26256513255066	None	373.26256513255066	None	373.26256513255066	None	None	373.26256513255066	None	374.2614542170195	None	2	374.2614542170195	None	374.2614542170195	None	374.2614542170195	None				0.6531856715446338																																																																																																																																																																																	457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
94	vacsora	zártkörû	TARG											0	0	0	0	0	9	9	9																																																											376.2566050023597	None	376.2566050023597	None	376.2566050023597	None	None	376.2566050023597	None	377.2700933579472	None	2	377.2700933579472	None	377.2700933579472	None	377.2700933579472	None				0.6185031501809135																																																																																																																																																																																	457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
48	nézõpont	kézenfekvõ	FOIL											0	0	0	0	0	10	10	10																																																											379.2495121861575	None	379.2495121861575	None	379.2495121861575	None	None	379.2495121861575	None	380.25457070826087	None	2	380.25457070826087	None	380.25457070826087	None	380.25457070826087	None				0.8888589976995718																																																																																																																																																																																	457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
27	gázvezeték	felszíni	TARG											0	0	0	0	0	11	11	11																																																											382.25324208813254	None	382.25324208813254	None	382.25324208813254	None	None	382.25324208813254	None	383.2737669677299	None	2	383.2737669677299	None	383.2737669677299	None	383.2737669677299	None				0.6597444894432556																																																																																																																																																																																	457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
80	népcsoport	kétnyelvû	FOIL											0	0	0	0	0	12	12	12																																																											385.2552365733718	None	385.2552365733718	None	385.2552365733718	None	None	385.2552365733718	None	386.25741455249954	None	2	386.25741455249954	None	386.25741455249954	None	386.25741455249954	None				1.2891720569168683																																																																																																																																																																																	457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
33	iránytû	hasznos	TARG											0	0	0	0	0	13	13	13																																																											388.25550652708625	None	388.25550652708625	None	388.25550652708625	None	None	388.25550652708625	None	389.26002762981807	None	2	389.26002762981807	None	389.26002762981807	None	389.26002762981807	None				1.2574341458966956																																																																																																																																																																																	457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
50	lépcsõház	emeletes	TARG											0	0	0	0	0	14	14	14																																																											391.2528639041411	None	391.2528639041411	None	391.2528639041411	None	None	391.2528639041411	None	392.26780279446393	None	2	392.26780279446393	None	392.26780279446393	None	392.26780279446393	None				0.7787191256065853																																																																																																																																																																																	457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
29	nyereség	pillanatnyi	FOIL											0	0	0	0	0	15	15	15																																																											394.2600210986857	None	394.2600210986857	None	394.2600210986857	None	None	394.2600210986857	None	395.2604375364899	None	2	395.2604375364899	None	395.2604375364899	None	395.2604375364899	None				0.9919878483633511																																																																																																																																																																																	457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
119	felajánlás	tömeges	FOIL											0	0	0	0	0	16	16	16																																																											397.2501049647108	None	397.2501049647108	None	397.2501049647108	None	None	397.2501049647108	None	398.25159002115834	None	2	398.25159002115834	None	398.25159002115834	None	398.25159002115834	None				0.6599077678692993																																																																																																																																																																																	457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
79	szemüveg	kényelmes	TARG											0	0	0	0	0	17	17	17																																																											400.24963067966746	None	400.24963067966746	None	400.24963067966746	None	None	400.24963067966746	None	401.26051404411555	None	2	401.26051404411555	None	401.26051404411555	None	401.26051404411555	None				0.7296858273621183																																																																																																																																																																																	457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
91	fertõzés	hosszútávú	FOIL											0	0	0	0	0	18	18	18																																																											403.24386430656887	None	403.24386430656887	None	403.24386430656887	None	None	403.24386430656887	None	404.26860363641754	None	2	404.26860363641754	None	404.26860363641754	None	404.26860363641754	None				1.4795506950176787																																																																																																																																																																																	457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
11	benzinkút	hajnali	TARG											0	0	0	0	0	19	19	19																																																											406.244971179025	None	406.244971179025	None	406.244971179025	None	None	406.244971179025	None	407.2614778535208	None	j	407.2614778535208	None	407.2614778535208	None	407.2614778535208	None				1.553739138878882																																																																																																																																																																																	457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
6	kézikönyv	technikai	FOIL											0	0	0	0	0	20	20	20																																																											409.24376602849225	None	409.24376602849225	None	409.24376602849225	None	None	409.24376602849225	None	410.25456293311436	None	2	410.25456293311436	None	410.25456293311436	None	410.25456293311436	None				1.1765245387505274																																																																																																																																																																																	457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
34	korlátozás	lokális	FOIL											0	0	0	0	0	21	21	21																																																											412.2468431276502	None	412.2468431276502	None	412.2468431276502	None	None	412.2468431276502	None	413.26811908814125	None	2	413.26811908814125	None	413.26811908814125	None	413.26811908814125	None				1.4049221768218558																																																																																																																																																																																	457887	21	2022_May_19_1437	encoding_smst	2021.01.02	52.294448479252964
